Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Season
74.0,Caron Butler,29.0,DAL,SG,6.0,6.0,202.0,17.8,0.532,0.232,0.273,1.7,17.7,9.7,8.0,2.4,1.8,11.9,29.2,0.1,0.3,0.4,0.096,0.4,1.9,2.2,0.2,,2009-10
75.0,Kurt Thomas,37.0,MIL,C,7.0,7.0,199.0,10.0,0.511,0.0,0.143,7.2,24.8,16.2,9.0,0.8,1.5,17.7,10.8,0.1,0.3,0.3,0.079,-3.1,2.5,-0.6,0.1,,2009-10
76.0,Kirk Hinrich,29.0,CHI,SG,5.0,5.0,196.0,13.3,0.533,0.308,0.269,0.6,13.1,6.5,15.1,1.9,0.0,3.3,13.9,0.3,0.1,0.4,0.086,-0.5,1.5,1.1,0.2,,2009-10
77.0,Lou Amundson,27.0,PHO,PF,16.0,0.0,194.0,13.1,0.519,0.0,0.583,19.0,15.9,17.4,0.7,1.6,2.8,11.7,12.1,0.3,0.2,0.5,0.112,-1.2,-1.1,-2.3,0.0,,2009-10
78.0,Jason Williams,34.0,ORL,PG,14.0,0.0,192.0,8.4,0.46,0.632,0.132,2.0,5.0,3.6,19.6,1.2,0.0,11.1,11.6,0.1,0.3,0.4,0.1,-1.0,-0.4,-1.5,0.0,,2009-10
79.0,Joakim Noah,24.0,CHI,C,5.0,5.0,188.0,20.2,0.603,0.0,0.358,11.8,29.3,20.1,10.8,2.5,3.4,19.6,18.4,0.3,0.2,0.5,0.126,1.1,2.6,3.7,0.3,,2009-10
80.0,Kyrylo Fesenko,23.0,UTA,C,10.0,9.0,181.0,3.0,0.42,0.0,0.7,5.1,20.3,12.7,9.2,0.0,2.2,26.3,13.1,-0.3,0.0,-0.3,-0.085,-6.2,0.1,-6.2,-0.2,,2009-10
81.0,Luc Mbah a Moute,23.0,MIL,PF,7.0,7.0,178.0,13.9,0.544,0.04,0.4,9.4,16.1,12.8,5.0,0.6,0.0,10.6,17.6,0.2,0.1,0.3,0.093,-1.0,-0.2,-1.2,0.0,,2009-10
82.0,Marcus Camby,35.0,POR,C,6.0,6.0,178.0,13.8,0.431,0.026,0.158,10.6,31.8,20.7,13.2,1.2,3.6,6.9,11.8,0.1,0.1,0.2,0.064,-0.3,1.7,1.3,0.2,,2009-10
83.0,Jason Terry,32.0,DAL,SG,6.0,0.0,174.0,11.8,0.5,0.435,0.232,1.3,8.3,4.8,12.3,1.2,0.4,7.3,22.1,0.1,0.2,0.3,0.077,0.3,-0.4,-0.1,0.1,,2009-10
84.0,Matt Bonner,29.0,SAS,PF,10.0,0.0,173.0,8.6,0.557,0.614,0.045,4.6,16.5,10.6,3.6,0.3,1.4,13.5,14.0,0.1,0.1,0.2,0.048,-1.5,-0.5,-2.0,0.0,,2009-10
85.0,Nenê,27.0,DEN,C,5.0,5.0,169.0,15.3,0.636,0.0,1.241,5.7,15.6,10.5,9.7,1.8,0.5,8.2,12.8,0.4,0.0,0.5,0.131,1.9,-0.3,1.6,0.2,,2009-10
86.0,Jerryd Bayless,21.0,POR,SG,6.0,2.0,166.0,15.4,0.536,0.231,0.369,2.8,9.3,5.9,26.7,0.7,0.0,9.6,24.1,0.3,-0.1,0.2,0.056,0.9,-1.3,-0.3,0.1,,2009-10
87.0,Gerald Wallace,27.0,CHA,SF,4.0,4.0,164.0,19.7,0.589,0.25,0.795,1.6,26.7,14.2,10.5,1.7,4.5,4.8,18.8,0.4,0.2,0.6,0.172,4.4,2.8,7.2,0.4,,2009-10
88.0,Zaza Pachulia,25.0,ATL,C,11.0,0.0,161.0,12.6,0.56,0.0,0.686,13.0,15.2,14.0,3.1,0.7,3.9,16.5,16.1,0.2,0.1,0.3,0.078,-3.1,-0.6,-3.7,-0.1,,2009-10
89.0,J.R. Smith,24.0,DEN,SG,6.0,0.0,159.0,12.5,0.523,0.544,0.281,3.8,14.2,8.9,9.7,1.3,1.0,8.6,19.5,0.2,0.0,0.2,0.057,0.5,-1.7,-1.2,0.0,,2009-10
90.0,Ersan İlyasova,22.0,MIL,PF,7.0,0.0,157.0,19.9,0.587,0.28,0.36,16.1,23.4,19.8,3.5,1.8,0.5,14.7,20.6,0.3,0.2,0.5,0.164,2.1,0.0,2.1,0.2,,2009-10
