Unnamed: 0,Team,Season,Wins,Losses,payroll,inflationAdjPayroll,revenue,Superteam
319,Los Angeles Lakers,2010,57.0,25.0,91428140.0,124291341.0,214000000.0,0
320,San Antonio Spurs,2010,61.0,21.0,,,,0
321,Boston Celtics,2010,56.0,26.0,,,151000000.0,1
322,Orlando Magic,2010,52.0,30.0,,,108000000.0,0
323,Denver Nuggets,2010,50.0,32.0,,,113000000.0,0
324,Dallas Mavericks,2010,57.0,25.0,,,146000000.0,0
325,Oklahoma City Thunder,2010,55.0,27.0,,,118000000.0,0
326,Memphis Grizzlies,2010,46.0,36.0,,,92000000.0,0
327,Houston Rockets,2010,43.0,39.0,,,153000000.0,0
328,Portland Trail Blazers,2010,48.0,34.0,,,127000000.0,0
329,Philadelphia 76ers,2010,41.0,41.0,,,110000000.0,0
330,New Orleans Hornets,2010,46.0,36.0,,,100000000.0,0
331,New York Knicks,2010,42.0,40.0,,,226000000.0,0
332,Milwaukee Bucks,2010,35.0,47.0,,,92000000.0,0
333,Phoenix Suns,2010,40.0,42.0,,,147000000.0,0
334,Atlanta Hawks,2010,44.0,38.0,,,105000000.0,0
335,Indiana Pacers,2010,37.0,45.0,,,95000000.0,0
336,Utah Jazz,2010,39.0,43.0,,,121000000.0,0
337,Golden State Warriors,2010,36.0,46.0,,,119000000.0,0
338,Los Angeles Clippers,2010,32.0,50.0,53225329.0,72356793.0,102000000.0,0
339,Detroit Pistons,2010,30.0,52.0,,,147000000.0,0
340,Charlotte Bobcats,2010,34.0,48.0,,,98000000.0,0
341,Sacramento Kings,2010,24.0,58.0,,,103000000.0,0
342,New Jersey Nets,2010,24.0,58.0,,,89000000.0,0
343,Toronto Raptors,2010,22.0,60.0,,,138000000.0,0
344,Minnesota Timberwolves,2010,17.0,65.0,,,95000000.0,0
345,Washington Wizards,2010,23.0,59.0,,,107000000.0,0
346,Cleveland Cavaliers,2010,19.0,63.0,,,161000000.0,0
347,League Average,2010,,,,,,0
348,Team,2011,,,,,,0
349,Charlotte Bobcats,2011,7.0,59.0,,,,0
350,Cleveland Cavaliers,2011,21.0,45.0,,,149000000.0,0
351,New Jersey Nets,2011,22.0,44.0,,,,0
352,Sacramento Kings,2011,22.0,44.0,,,104000000.0,0
353,Washington Wizards,2011,20.0,46.0,,,109000000.0,0
354,Detroit Pistons,2011,25.0,41.0,,,141000000.0,0
355,New Orleans Hornets,2011,21.0,45.0,,,,0
356,Golden State Warriors,2011,23.0,43.0,,,139000000.0,0
357,Toronto Raptors,2011,23.0,43.0,,,134000000.0,0
358,Minnesota Timberwolves,2011,26.0,40.0,,,97000000.0,0
359,Phoenix Suns,2011,33.0,33.0,,,136000000.0,0
360,Portland Trail Blazers,2011,28.0,38.0,,,132000000.0,0
361,Utah Jazz,2011,36.0,30.0,,,120000000.0,0
362,Milwaukee Bucks,2011,31.0,35.0,,,92000000.0,0
