team,wins,losses,season,payroll,inflationAdjPayroll,revenue,superteam,cost_per_win,revenue_per_win
Detroit Pistons,37.0,45.0,2016,106492988.0,130924005.0,172000000.0,No,2878188.864864865,4648648.6486486485
Minnesota Timberwolves,31.0,51.0,2016,83527580.0,102689999.0,154000000.0,No,2694438.064516129,4967741.935483871
New Orleans Pelicans,34.0,48.0,2016,101616451.0,124928717.0,156000000.0,No,2988719.1470588236,4588235.294117647
Dallas Mavericks,33.0,49.0,2016,102354966.0,125836657.0,194000000.0,No,3101665.6363636362,5878787.878787879
New York Knicks,31.0,51.0,2016,102593418.0,126129816.0,376000000.0,No,3309465.0967741935,12129032.258064516
Sacramento Kings,32.0,50.0,2016,95596327.0,117527493.0,164000000.0,No,2987385.21875,5125000.0
Phoenix Suns,24.0,58.0,2016,89754590.0,110345576.0,173000000.0,No,3739774.5833333335,7208333.333333333
Philadelphia 76ers,28.0,54.0,2016,84775343.0,104224013.0,140000000.0,No,3027690.8214285714,5000000.0
Brooklyn Nets,20.0,62.0,2016,82391482.0,101293262.0,223000000.0,No,4119574.1,11150000.0
Orlando Magic,29.0,53.0,2016,104096951.0,127978282.0,166000000.0,No,3589550.0344827585,5724137.931034483
Los Angeles Lakers,26.0,56.0,2016,94781848.0,116526161.0,333000000.0,No,3645455.6923076925,12807692.307692308
League Average,,,2016,,,,No,,
Team,,,2017,,,,No,,
Houston Rockets,65.0,17.0,2017,119905532.0,145044290.0,296000000.0,No,1844700.4923076923,4553846.153846154
Toronto Raptors,59.0,23.0,2017,116929373.0,141444173.0,250000000.0,No,1981853.779661017,4237288.135593221
Golden State Warriors,58.0,24.0,2017,137610134.0,166460754.0,359000000.0,Yes,2372588.5172413792,6189655.172413793
Utah Jazz,48.0,34.0,2017,105606838.0,127747809.0,221000000.0,No,2200142.4583333335,4604166.666666667
Philadelphia 76ers,52.0,30.0,2017,100797386.0,121930035.0,184000000.0,No,1938411.2692307692,3538461.5384615385
Boston Celtics,55.0,27.0,2017,115284776.0,139454775.0,257000000.0,No,2096086.8363636364,4672727.2727272725
Oklahoma City Thunder,48.0,34.0,2017,134534640.0,162740467.0,222000000.0,Yes,2802805.0,4625000.0
San Antonio Spurs,47.0,35.0,2017,114633844.0,138667375.0,259000000.0,No,2439017.9574468085,5510638.29787234
Portland Trail Blazers,49.0,33.0,2017,118708146.0,143595874.0,223000000.0,No,2422615.224489796,4551020.408163265
Minnesota Timberwolves,47.0,35.0,2017,116075131.0,140410835.0,204000000.0,No,2469683.638297872,4340425.531914894
Denver Nuggets,46.0,36.0,2017,107543599.0,130090627.0,202000000.0,No,2337904.3260869565,4391304.347826087
Indiana Pacers,48.0,34.0,2017,95271736.0,115245904.0,205000000.0,No,1984827.8333333333,4270833.333333333
New Orleans Pelicans,48.0,34.0,2017,120814452.0,146143773.0,204000000.0,No,2516967.75,4250000.0
Cleveland Cavaliers,50.0,32.0,2017,137722926.0,166597194.0,280000000.0,Yes,2754458.52,5600000.0
Washington Wizards,43.0,39.0,2017,123306396.0,149158166.0,222000000.0,No,2867590.604651163,5162790.697674419
Miami Heat,44.0,38.0,2017,133624374.0,161639360.0,253000000.0,No,3036917.590909091,5750000.0
Charlotte Hornets,36.0,46.0,2017,117382664.0,141992499.0,202000000.0,No,3260629.5555555555,5611111.111111111
Los Angeles Clippers,42.0,40.0,2017,119093010.0,144061426.0,257000000.0,No,2835547.8571428573,6119047.619047619
Detroit Pistons,39.0,43.0,2017,119773191.0,144884208.0,221000000.0,No,3071107.4615384615,5666666.666666667
Milwaukee Bucks,44.0,38.0,2017,120521249.0,145789098.0,179000000.0,No,2739119.2954545454,4068181.8181818184
Los Angeles Lakers,35.0,47.0,2017,103126557.0,124747524.0,371000000.0,No,2946473.057142857,10600000.0
Dallas Mavericks,24.0,58.0,2017,85440245.0,103353192.0,233000000.0,No,3560010.2083333335,9708333.333333334
New York Knicks,29.0,53.0,2017,105403130.0,127501394.0,426000000.0,No,3634590.6896551726,14689655.172413792
Brooklyn Nets,28.0,54.0,2017,95475397.0,115492262.0,273000000.0,No,3409835.6071428573,9750000.0
Orlando Magic,25.0,57.0,2017,98700258.0,119393235.0,211000000.0,No,3948010.32,8440000.0
Atlanta Hawks,24.0,58.0,2017,99992696.0,120956634.0,209000000.0,No,4166362.3333333335,8708333.333333334
Memphis Grizzlies,22.0,60.0,2017,110700149.0,133908961.0,206000000.0,No,5031824.954545454,9363636.363636363
Chicago Bulls,27.0,55.0,2017,90466801.0,109433589.0,281000000.0,No,3350622.2592592593,10407407.407407407
Sacramento Kings,27.0,55.0,2017,99587185.0,120466111.0,240000000.0,No,3688414.2592592593,8888888.888888888
Phoenix Suns,21.0,61.0,2017,92684083.0,112115739.0,218000000.0,No,4413527.761904762,10380952.38095238
League Average,,,2017,,,,No,,
Team,,,2018,,,,No,,
Milwaukee Bucks,60.0,22.0,2018,130988604.0,154028001.0,204000000.0,No,2183143.4,3400000.0
Golden State Warriors,57.0,25.0,2018,146291276.0,172022240.0,401000000.0,Yes,2566513.6140350876,7035087.719298245
Toronto Raptors,58.0,24.0,2018,137793831.0,162030191.0,275000000.0,No,2375755.706896552,4741379.310344827
Utah Jazz,50.0,32.0,2018,113826156.0,133846874.0,243000000.0,No,2276523.12,4860000.0
Houston Rockets,53.0,29.0,2018,126474100.0,148719446.0,326000000.0,No,2386303.7735849055,6150943.396226415
Boston Celtics,49.0,33.0,2018,125334993.0,147379986.0,287000000.0,No,2557857.0,5857142.857142857
Portland Trail Blazers,53.0,29.0,2018,130256600.0,153167248.0,246000000.0,No,2457671.6981132077,4641509.433962264
Denver Nuggets,54.0,28.0,2018,118327016.0,139139384.0,222000000.0,No,2191241.037037037,4111111.111111111
Indiana Pacers,48.0,34.0,2018,110724804.0,130200029.0,222000000.0,No,2306766.75,4625000.0
Oklahoma City Thunder,49.0,33.0,2018,144916427.0,170405569.0,241000000.0,Yes,2957478.102040816,4918367.346938776
Philadelphia 76ers,51.0,31.0,2018,115127167.0,135376714.0,268000000.0,No,2257395.431372549,5254901.960784313
San Antonio Spurs,48.0,34.0,2018,121588790.0,142974866.0,262000000.0,No,2533099.7916666665,5458333.333333333
Los Angeles Clippers,48.0,34.0,2018,118026816.0,138786382.0,258000000.0,No,2458892.0,5375000.0
Orlando Magic,42.0,40.0,2018,114394213.0,134514847.0,223000000.0,No,2723671.738095238,5309523.80952381
Brooklyn Nets,42.0,40.0,2018,118850600.0,139755056.0,290000000.0,No,2829776.1904761903,6904761.904761905
Detroit Pistons,41.0,41.0,2018,126557932.0,148818022.0,235000000.0,No,3086778.8292682925,5731707.317073171
Miami Heat,39.0,43.0,2018,153171497.0,180112612.0,259000000.0,No,3927474.282051282,6641025.641025641
Sacramento Kings,39.0,43.0,2018,101466920.0,119313786.0,263000000.0,No,2601715.8974358975,6743589.743589744
Charlotte Hornets,39.0,43.0,2018,121427859.0,142785633.0,213000000.0,No,3113534.846153846,5461538.461538462
New Orleans Pelicans,33.0,49.0,2018,116052756.0,136465107.0,214000000.0,No,3516750.1818181816,6484848.484848484
Dallas Mavericks,33.0,49.0,2018,86958881.0,102253953.0,287000000.0,No,2635117.606060606,8696969.696969697
Minnesota Timberwolves,36.0,46.0,2018,121962221.0,143413977.0,223000000.0,No,3387839.472222222,6194444.444444444
Los Angeles Lakers,37.0,45.0,2018,107225482.0,126085215.0,395000000.0,No,2897986.0,10675675.675675675
Memphis Grizzlies,33.0,49.0,2018,125188633.0,147207879.0,213000000.0,No,3793594.9393939395,6454545.454545454
Washington Wizards,32.0,50.0,2018,123747588.0,145513371.0,255000000.0,No,3867112.125,7968750.0
Atlanta Hawks,29.0,53.0,2018,79180081.0,93106946.0,215000000.0,No,2730347.620689655,7413793.1034482755
Chicago Bulls,22.0,60.0,2018,112598201.0,132402931.0,287000000.0,No,5118100.045454546,13045454.545454545
New York Knicks,17.0,65.0,2018,123387454.0,145089896.0,443000000.0,No,7258085.529411765,26058823.529411763
Phoenix Suns,19.0,63.0,2018,108692835.0,127810656.0,235000000.0,No,5720675.52631579,12368421.05263158
Cleveland Cavaliers,19.0,63.0,2018,123255073.0,144934229.0,302000000.0,No,6487109.105263158,15894736.842105264
League Average,,,2018,,,,No,,
Team,,,2019,,,,No,,
Milwaukee Bucks,56.0,17.0,2019,122612183.0,141840052.0,283000000.0,No,2189503.2678571427,5053571.428571428
Boston Celtics,48.0,24.0,2019,117759332.0,136226186.0,304000000.0,No,2453319.4166666665,6333333.333333333
Los Angeles Clippers,49.0,23.0,2019,131506341.0,152128979.0,282000000.0,No,2683802.8775510206,5755102.040816327
Toronto Raptors,53.0,19.0,2019,122463495.0,141668046.0,334000000.0,No,2310631.9811320757,6301886.79245283
Los Angeles Lakers,52.0,19.0,2019,123971686.0,143412750.0,434000000.0,No,2384070.8846153845,8346153.846153846
Dallas Mavericks,43.0,32.0,2019,120871082.0,139825913.0,307000000.0,No,2810955.395348837,7139534.883720931
Miami Heat,44.0,29.0,2019,129867871.0,150233567.0,294000000.0,No,2951542.522727273,6681818.181818182
Houston Rockets,44.0,28.0,2019,128109922.0,148199940.0,348000000.0,No,2911589.1363636362,7909090.909090909
Utah Jazz,44.0,28.0,2019,118910311.0,137557656.0,258000000.0,No,2702507.0681818184,5863636.363636363
Philadelphia 76ers,43.0,30.0,2019,129912339.0,150285008.0,300000000.0,No,3021217.1860465114,6976744.186046512
Denver Nuggets,46.0,27.0,2019,128746180.0,148935975.0,252000000.0,No,2798830.0,5478260.869565218
Indiana Pacers,45.0,28.0,2019,112872260.0,130572726.0,243000000.0,No,2508272.4444444445,5400000.0
Oklahoma City Thunder,44.0,28.0,2019,132017938.0,152720804.0,258000000.0,No,3000407.6818181816,5863636.363636363
Phoenix Suns,34.0,39.0,2019,98539675.0,113992525.0,246000000.0,No,2898225.7352941176,7235294.117647059
Brooklyn Nets,35.0,37.0,2019,118889943.0,137534093.0,304000000.0,No,3396855.5142857144,8685714.285714285
Orlando Magic,33.0,40.0,2019,126095610.0,145869745.0,244000000.0,No,3821079.090909091,7393939.393939394
San Antonio Spurs,32.0,39.0,2019,119217331.0,137912823.0,285000000.0,No,3725541.59375,8906250.0
Memphis Grizzlies,34.0,39.0,2019,98495848.0,113941826.0,224000000.0,No,2896936.705882353,6588235.294117647
Portland Trail Blazers,35.0,39.0,2019,131979953.0,152676863.0,287000000.0,No,3770855.8,8200000.0
New Orleans Pelicans,30.0,42.0,2019,117868297.0,136352236.0,224000000.0,No,3928943.2333333334,7466666.666666667
Sacramento Kings,31.0,41.0,2019,113796966.0,131642442.0,286000000.0,No,3670869.870967742,9225806.451612903
Chicago Bulls,22.0,43.0,2019,112601901.0,130259969.0,301000000.0,No,5118268.2272727275,13681818.181818182
Detroit Pistons,20.0,46.0,2019,104527576.0,120919438.0,255000000.0,No,5226378.8,12750000.0
Minnesota Timberwolves,19.0,45.0,2019,114202982.0,132112131.0,234000000.0,No,6010683.263157895,12315789.47368421
Washington Wizards,25.0,47.0,2019,121296256.0,140317762.0,269000000.0,No,4851850.24,10760000.0
New York Knicks,21.0,45.0,2019,100232129.0,115950387.0,472000000.0,No,4772958.523809524,22476190.476190478
Charlotte Hornets,23.0,42.0,2019,96552033.0,111693183.0,240000000.0,No,4197914.478260869,10434782.608695652
Atlanta Hawks,20.0,47.0,2019,110702618.0,128062845.0,251000000.0,No,5535130.9,12550000.0
Cleveland Cavaliers,19.0,46.0,2019,131059022.0,151611509.0,300000000.0,No,6897843.263157895,15789473.684210526
Golden State Warriors,15.0,50.0,2019,129254928.0,149524506.0,440000000.0,Yes,8616995.2,29333333.333333332
League Average,,,2019,,,,No,,
Team,,,2020,,,,No,,
Utah Jazz,52.0,20.0,2020,136881324.0,157330923.0,226000000.0,No,2632333.153846154,4346153.846153846
Los Angeles Clippers,47.0,25.0,2020,139722606.0,160596683.0,262000000.0,No,2972821.404255319,5574468.085106383
Phoenix Suns,51.0,21.0,2020,128858241.0,148109217.0,222000000.0,No,2526632.1764705884,4352941.176470588
Milwaukee Bucks,46.0,26.0,2020,136623929.0,157035070.0,239000000.0,No,2970085.413043478,5195652.173913044
Philadelphia 76ers,49.0,23.0,2020,147825311.0,169909902.0,259000000.0,No,3016843.0816326533,5285714.285714285
Denver Nuggets,47.0,25.0,2020,129793210.0,149183867.0,218000000.0,No,2761557.659574468,4638297.872340426
Brooklyn Nets,48.0,24.0,2020,170444633.0,195908476.0,280000000.0,No,3550929.8541666665,5833333.333333333
Los Angeles Lakers,42.0,30.0,2020,139334713.0,160150838.0,400000000.0,No,3317493.1666666665,9523809.523809524
Dallas Mavericks,42.0,30.0,2020,127657823.0,146729462.0,295000000.0,No,3039471.976190476,7023809.523809524
New York Knicks,41.0,31.0,2020,102137151.0,117396083.0,421000000.0,No,2491150.024390244,10268292.68292683
Atlanta Hawks,41.0,31.0,2020,118804016.0,136552926.0,222000000.0,No,2897658.926829268,5414634.146341464
Portland Trail Blazers,42.0,30.0,2020,131904647.0,151610748.0,240000000.0,No,3140586.8333333335,5714285.714285715
Boston Celtics,36.0,36.0,2020,132931565.0,152791083.0,274000000.0,No,3692543.472222222,7611111.111111111
Golden State Warriors,39.0,33.0,2020,171105334.0,196667884.0,474000000.0,No,4387316.256410256,12153846.153846154
Memphis Grizzlies,38.0,34.0,2020,132022601.0,151746320.0,210000000.0,No,3474278.9736842103,5526315.7894736845
Miami Heat,40.0,32.0,2020,134731235.0,154859617.0,266000000.0,No,3368280.875,6650000.0
Indiana Pacers,34.0,38.0,2020,130237102.0,149694076.0,217000000.0,No,3830503.0,6382352.94117647
New Orleans Pelicans,31.0,41.0,2020,133901495.0,153905916.0,209000000.0,No,4319403.064516129,6741935.483870967
Toronto Raptors,27.0,45.0,2020,129131910.0,148423773.0,264000000.0,No,4782663.333333333,9777777.777777778
Chicago Bulls,31.0,41.0,2020,128963580.0,148230296.0,300000000.0,No,4160115.4838709678,9677419.35483871
San Antonio Spurs,33.0,39.0,2020,129537825.0,148890327.0,255000000.0,No,3925388.6363636362,7727272.7272727275
Washington Wizards,34.0,38.0,2020,131294012.0,150908882.0,231000000.0,No,3861588.588235294,6794117.647058823
Charlotte Hornets,33.0,39.0,2020,108218809.0,124386327.0,215000000.0,No,3279357.8484848486,6515151.515151516
Sacramento Kings,31.0,41.0,2020,106847430.0,122810063.0,245000000.0,No,3446691.290322581,7903225.806451613
Detroit Pistons,20.0,52.0,2020,117041599.0,134527206.0,227000000.0,No,5852079.95,11350000.0
Minnesota Timberwolves,23.0,49.0,2020,130334934.0,149806526.0,214000000.0,No,5666736.260869565,9304347.826086957
Houston Rockets,17.0,55.0,2020,131784255.0,151472362.0,308000000.0,No,7752015.0,18117647.05882353
Cleveland Cavaliers,22.0,50.0,2020,129605319.0,148967902.0,269000000.0,No,5891150.863636363,12227272.727272727
Orlando Magic,21.0,51.0,2020,121739163.0,139926571.0,218000000.0,No,5797103.0,10380952.38095238
Oklahoma City Thunder,22.0,50.0,2020,95774839.0,110083267.0,236000000.0,No,4353401.7727272725,10727272.727272727
League Average,,,2020,,,,No,,
Team,,,2021,,,,No,,
Boston Celtics,51.0,31.0,2021,136557646.0,148929426.0,211000000.0,No,2677600.901960784,4137254.901960784
Phoenix Suns,64.0,18.0,2021,136476474.0,148840901.0,206000000.0,No,2132444.90625,3218750.0
Utah Jazz,49.0,33.0,2021,149760719.0,163328668.0,262000000.0,No,3056341.2040816327,5346938.775510204
Memphis Grizzlies,56.0,26.0,2021,117284457.0,127910133.0,186000000.0,No,2094365.3035714286,3321428.5714285714
Golden State Warriors,53.0,29.0,2021,178980766.0,195195980.0,258000000.0,No,3376995.5849056602,4867924.528301887
Miami Heat,53.0,29.0,2021,140840240.0,153600014.0,218000000.0,No,2657363.0188679243,4113207.547169811
Dallas Mavericks,52.0,30.0,2021,126696965.0,138175392.0,231000000.0,No,2436480.096153846,4442307.692307692
Milwaukee Bucks,51.0,31.0,2021,160875421.0,175450332.0,212000000.0,No,3154420.0196078434,4156862.745098039
Philadelphia 76ers,51.0,31.0,2021,148922969.0,162415018.0,236000000.0,No,2920058.2156862747,4627450.980392157
Minnesota Timberwolves,46.0,36.0,2021,137432702.0,149883767.0,199000000.0,No,2987667.434782609,4326086.956521739
Denver Nuggets,48.0,34.0,2021,137963926.0,150463115.0,185000000.0,No,2874248.4583333335,3854166.6666666665
Toronto Raptors,48.0,34.0,2021,134896484.0,147117769.0,194000000.0,No,2810343.4166666665,4041666.6666666665
Cleveland Cavaliers,44.0,38.0,2021,136385911.0,148742131.0,211000000.0,No,3099679.7954545454,4795454.545454546
Atlanta Hawks,43.0,39.0,2021,135166020.0,147411722.0,199000000.0,No,3143395.8139534886,4627906.976744186
Brooklyn Nets,44.0,38.0,2021,174811922.0,190649447.0,212000000.0,Yes,3972998.227272727,4818181.818181818
Charlotte Hornets,43.0,39.0,2021,122139566.0,133205107.0,183000000.0,No,2840455.023255814,4255813.953488372
San Antonio Spurs,34.0,48.0,2021,127655401.0,139220659.0,205000000.0,No,3754570.617647059,6029411.764705882
Los Angeles Clippers,42.0,40.0,2021,168378382.0,183633046.0,219000000.0,No,4009009.095238095,5214285.714285715
New York Knicks,37.0,45.0,2021,120644081.0,131574134.0,298000000.0,No,3260650.8378378376,8054054.054054054
Chicago Bulls,46.0,36.0,2021,136083814.0,148412668.0,213000000.0,No,2958343.782608696,4630434.782608695
New Orleans Pelicans,36.0,46.0,2021,135793968.0,148096563.0,181000000.0,No,3772054.6666666665,5027777.777777778
Los Angeles Lakers,33.0,49.0,2021,164409293.0,179304361.0,316000000.0,Yes,4982099.787878788,9575757.575757576
Washington Wizards,35.0,47.0,2021,128019790.0,139618062.0,213000000.0,No,3657708.285714286,6085714.285714285
Indiana Pacers,25.0,57.0,2021,138181486.0,150700383.0,179000000.0,No,5527259.44,7160000.0
Sacramento Kings,30.0,52.0,2021,130457848.0,142277004.0,192000000.0,No,4348594.933333334,6400000.0
Detroit Pistons,23.0,59.0,2021,131120355.0,142999530.0,192000000.0,No,5700885.0,8347826.0869565215
Orlando Magic,22.0,60.0,2021,126786646.0,138273195.0,188000000.0,No,5763029.363636363,8545454.545454545
Oklahoma City Thunder,24.0,58.0,2021,82022873.0,89453934.0,183000000.0,No,3417619.7083333335,7625000.0
Houston Rockets,20.0,62.0,2021,132267085.0,144250150.0,223000000.0,No,6613354.25,11150000.0
Portland Trail Blazers,27.0,55.0,2021,124788473.0,136093994.0,201000000.0,No,4621795.296296297,7444444.444444444
League Average,,,2021,,,,No,,
Team,,,2022,,,,No,,
Boston Celtics,57.0,25.0,2022,178633307.0,189402747.0,443000000.0,No,3133917.6666666665,7771929.824561403
Cleveland Cavaliers,51.0,31.0,2022,151966241.0,161127975.0,348000000.0,No,2979730.2156862747,6823529.411764706
Philadelphia 76ers,54.0,28.0,2022,150496913.0,159570063.0,371000000.0,No,2786979.8703703703,6870370.37037037
Memphis Grizzlies,51.0,31.0,2022,127139520.0,134804500.0,258000000.0,No,2492931.7647058824,5058823.529411765
Milwaukee Bucks,58.0,24.0,2022,182930771.0,193959293.0,329000000.0,No,3153978.8103448274,5672413.793103448
Denver Nuggets,53.0,29.0,2022,162338665.0,172125732.0,348000000.0,No,3062993.679245283,6566037.735849056
New York Knicks,47.0,35.0,2022,148987936.0,157970114.0,504000000.0,No,3169956.085106383,10723404.255319148
Sacramento Kings,48.0,34.0,2022,139423615.0,147829176.0,289000000.0,No,2904658.6458333335,6020833.333333333
Phoenix Suns,45.0,37.0,2022,176042453.0,186655694.0,366000000.0,No,3912054.511111111,8133333.333333333
New Orleans Pelicans,42.0,40.0,2022,148360910.0,157305287.0,262000000.0,No,3532402.619047619,6238095.238095238
Golden State Warriors,44.0,38.0,2022,192386134.0,203984702.0,765000000.0,No,4372412.136363637,17386363.636363637
Toronto Raptors,41.0,41.0,2022,150992313.0,160095330.0,305000000.0,No,3682739.3414634145,7439024.390243903
Chicago Bulls,40.0,42.0,2022,151964990.0,161126647.0,372000000.0,No,3799124.75,9300000.0
Oklahoma City Thunder,40.0,42.0,2022,148856338.0,157830582.0,267000000.0,No,3721408.45,6675000.0
Brooklyn Nets,45.0,37.0,2022,159566723.0,169186672.0,367000000.0,Yes,3545927.177777778,8155555.555555556
Los Angeles Lakers,43.0,39.0,2022,169391473.0,179603738.0,516000000.0,Yes,3939336.581395349,12000000.0
Los Angeles Clippers,44.0,38.0,2022,192905421.0,204535294.0,425000000.0,No,4384214.113636363,9659090.909090908
Atlanta Hawks,41.0,41.0,2022,149836313.0,158869639.0,326000000.0,No,3654544.2195121953,7951219.5121951215
Dallas Mavericks,38.0,44.0,2022,177244238.0,187929929.0,429000000.0,No,4664322.052631579,11289473.684210526
Minnesota Timberwolves,42.0,40.0,2022,145793656.0,154583256.0,259000000.0,No,3471277.523809524,6166666.666666667
Miami Heat,44.0,38.0,2022,151408266.0,160536360.0,371000000.0,No,3441096.9545454546,8431818.181818182
Utah Jazz,37.0,45.0,2022,148738241.0,157705365.0,274000000.0,No,4019952.4594594594,7405405.405405405
Washington Wizards,35.0,47.0,2022,152008934.0,161173239.0,323000000.0,No,4343112.4,9228571.42857143
Orlando Magic,34.0,48.0,2022,126107324.0,133710077.0,261000000.0,No,3709038.9411764704,7676470.588235294
Indiana Pacers,35.0,47.0,2022,125706114.0,133284674.0,263000000.0,No,3591603.257142857,7514285.714285715
Portland Trail Blazers,33.0,49.0,2022,144997250.0,153738833.0,300000000.0,No,4393856.060606061,9090909.090909092
Charlotte Hornets,27.0,55.0,2022,125874047.0,133462735.0,269000000.0,No,4662001.740740741,9962962.962962963
Houston Rockets,22.0,60.0,2022,137579793.0,145874191.0,381000000.0,No,6253626.954545454,17318181.818181816
Detroit Pistons,17.0,65.0,2022,129153570.0,136939969.0,274000000.0,No,7597268.823529412,16117647.05882353
San Antonio Spurs,22.0,60.0,2022,104545376.0,110848194.0,319000000.0,No,4752062.545454546,14500000.0
League Average,,,2022,,,,No,,
Team,,,2023,,,,No,,
Boston Celtics,64.0,18.0,2023,186940921.0,192495669.0,457000000.0,No,2920951.890625,7140625.0
Oklahoma City Thunder,57.0,25.0,2023,162515272.0,167344233.0,320000000.0,No,2851145.1228070175,5614035.087719298
Minnesota Timberwolves,56.0,26.0,2023,166434327.0,171379743.0,305000000.0,No,2972041.5535714286,5446428.571428572
Denver Nuggets,57.0,25.0,2023,180922992.0,186298923.0,356000000.0,No,3174087.5789473685,6245614.03508772
New York Knicks,50.0,32.0,2023,164990518.0,169893032.0,543000000.0,No,3299810.36,10860000.0
New Orleans Pelicans,49.0,33.0,2023,167403924.0,172378150.0,272000000.0,No,3416406.612244898,5551020.408163265
Los Angeles Clippers,51.0,31.0,2023,201366679.0,207350074.0,353000000.0,Yes,3948366.254901961,6921568.62745098
Philadelphia 76ers,47.0,35.0,2023,166271894.0,171212482.0,396000000.0,No,3537699.8723404254,8425531.914893618
Phoenix Suns,49.0,33.0,2023,193838882.0,199598596.0,369000000.0,Yes,3955895.551020408,7530612.244897959
Indiana Pacers,47.0,35.0,2023,148722330.0,153141451.0,320000000.0,No,3164304.8936170214,6808510.638297873
Golden State Warriors,46.0,36.0,2023,209354737.0,215575491.0,800000000.0,No,4551189.934782608,17391304.347826086
Milwaukee Bucks,49.0,33.0,2023,187346674.0,192913480.0,333000000.0,No,3823401.5102040814,6795918.367346939
Cleveland Cavaliers,48.0,34.0,2023,166874287.0,171832777.0,391000000.0,No,3476547.6458333335,8145833.333333333
Dallas Mavericks,50.0,32.0,2023,167755884.0,172740566.0,437000000.0,No,3355117.68,8740000.0
Orlando Magic,47.0,35.0,2023,132643598.0,136584956.0,285000000.0,No,2822204.212765957,6063829.787234043
Miami Heat,46.0,36.0,2023,177143542.0,182407172.0,371000000.0,No,3850946.565217391,8065217.391304348
Sacramento Kings,46.0,36.0,2023,153564021.0,158127009.0,320000000.0,No,3338348.282608696,6956521.739130435
Houston Rockets,41.0,41.0,2023,149356730.0,153794701.0,416000000.0,No,3642847.073170732,10146341.463414634
Los Angeles Lakers,47.0,35.0,2023,169876920.0,174924626.0,522000000.0,Yes,3614402.5531914895,11106382.978723405
Chicago Bulls,39.0,43.0,2023,165630436.0,170551964.0,414000000.0,No,4246934.256410256,10615384.615384616
Atlanta Hawks,36.0,46.0,2023,159153393.0,163882464.0,353000000.0,No,4420927.583333333,9805555.555555556
Brooklyn Nets,32.0,50.0,2023,155015136.0,159621241.0,381000000.0,No,4844223.0,11906250.0
Utah Jazz,31.0,51.0,2023,133738448.0,137712338.0,318000000.0,No,4314143.483870967,10258064.516129032
San Antonio Spurs,22.0,60.0,2023,142867770.0,147112925.0,363000000.0,No,6493989.545454546,16500000.0
Toronto Raptors,25.0,57.0,2023,163054678.0,167899669.0,341000000.0,No,6522187.12,13640000.0
Memphis Grizzlies,27.0,55.0,2023,162649524.0,167482470.0,291000000.0,No,6024056.444444444,10777777.777777778
Detroit Pistons,14.0,68.0,2023,139233014.0,143370164.0,305000000.0,No,9945215.285714285,21785714.285714287
Washington Wizards,15.0,67.0,2023,150856313.0,155338839.0,362000000.0,No,10057087.533333333,24133333.333333332
Portland Trail Blazers,21.0,61.0,2023,165263993.0,170174630.0,335000000.0,No,7869713.952380952,15952380.952380951
Charlotte Hornets,21.0,61.0,2023,135774484.0,139808870.0,308000000.0,No,6465451.619047619,14666666.666666666
League Average,,,2023,,,,No,,
Team,,,2024,,,,No,,
Oklahoma City Thunder,68.0,14.0,2024,166418720.0,166418720.0,321000000.0,No,2447334.117647059,4720588.235294118
Boston Celtics,61.0,21.0,2024,195348491.0,195348491.0,452000000.0,No,3202434.2786885244,7409836.065573771
Cleveland Cavaliers,64.0,18.0,2024,165110486.0,165110486.0,406000000.0,No,2579851.34375,6343750.0
Minnesota Timberwolves,49.0,33.0,2024,203708244.0,203708244.0,328000000.0,No,4157311.102040816,6693877.551020408
Los Angeles Clippers,50.0,32.0,2024,174124752.0,174124752.0,351000000.0,Yes,3482495.04,7020000.0
Memphis Grizzlies,48.0,34.0,2024,165903638.0,165903638.0,299000000.0,No,3456325.7916666665,6229166.666666667
Houston Rockets,52.0,30.0,2024,163038023.0,163038023.0,402000000.0,No,3135346.596153846,7730769.230769231
New York Knicks,51.0,31.0,2024,191906878.0,191906878.0,578000000.0,No,3762879.9607843137,11333333.333333334
Denver Nuggets,50.0,32.0,2024,185864258.0,185864258.0,386000000.0,No,3717285.16,7720000.0
Golden State Warriors,48.0,34.0,2024,170316619.0,170316619.0,781000000.0,No,3548262.8958333335,16270833.333333334
Milwaukee Bucks,48.0,34.0,2024,182559432.0,182559432.0,350000000.0,No,3803321.5,7291666.666666667
Indiana Pacers,50.0,32.0,2024,166742248.0,166742248.0,339000000.0,No,3334844.96,6780000.0
Detroit Pistons,44.0,38.0,2024,140501660.0,140501660.0,306000000.0,No,3193219.5454545454,6954545.454545454
Los Angeles Lakers,50.0,32.0,2024,192057940.0,192057940.0,528000000.0,No,3841158.8,10560000.0
Miami Heat,37.0,45.0,2024,176102077.0,176102077.0,394000000.0,No,4759515.594594595,10648648.64864865
Sacramento Kings,40.0,42.0,2024,167811057.0,167811057.0,425000000.0,No,4195276.425,10625000.0
Orlando Magic,41.0,41.0,2024,152308863.0,152308863.0,317000000.0,No,3714850.3170731706,7731707.317073171
Atlanta Hawks,40.0,42.0,2024,170057021.0,170057021.0,384000000.0,No,4251425.525,9600000.0
Dallas Mavericks,39.0,43.0,2024,174411922.0,174411922.0,430000000.0,No,4472100.564102564,11025641.025641026
Chicago Bulls,39.0,43.0,2024,165722496.0,165722496.0,402000000.0,No,4249294.769230769,10307692.307692308
San Antonio Spurs,34.0,48.0,2024,162395330.0,162395330.0,344000000.0,No,4776333.235294118,10117647.05882353
